Common Name,Scientific Name,Growth Type,Edible,Medicinal Use,Optimal Temperature (°C),Humidity Preference (%),Sunlight Requirement,Climate Suitability,Preferred Soil Type,Soil pH Range,Water Requirement,Irrigation Frequency,Germination Time (Days),Time to Harvest (Days),Companion Planting Suitability,Pruning Requirement,Common Pests,Disease Resistance,Nitrogen Need,Phosphorus Need,Potassium Need,Recommended Organic Fertilizers,Suitable for Region,Suitable for Season
Chili,Capsicum annuum,Shrub,Yes,No,21,74,Full Sun,Tropical,Sandy,7.3,Low,Daily,7,41,Good,Yes,None,None,High,Low,Medium,Compost,Delhi,Summer
Radish,Raphanus sativus,Herb,Yes,No,16,65,Partial Shade,Subtropical,Peaty,5.7,High,Daily,10,67,Good,Yes,None,Fungal,High,Medium,Low,Manure,Hyderabad,Summer
Radish,Raphanus sativus,Herb,Yes,No,17,68,Partial Shade,Subtropical,Clay,6.1,Medium,Weekly,19,63,Good,Yes,Bacterial,Fungal,High,Medium,Low,Compost,Chennai,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,28,67,Shade,Subtropical,Loam,6.4,Low,Daily,19,36,Bad,Yes,Fungal,Bacterial,High,High,Low,Compost,Bangalore,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,32,45,Partial Shade,Temperate,Clay,6.1,High,Weekly,17,36,Bad,Yes,Caterpillars,Viral,Medium,Low,High,Vermicompost,Bangalore,Winter
Mint,Mentha,Herb,Yes,Yes,35,49,Shade,Subtropical,Silt,6.4,Low,Weekly,11,109,Bad,Yes,Bacterial,Bacterial,Medium,Low,High,Manure,Delhi,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,25,82,Full Sun,Tropical,Peaty,6.6,High,Weekly,10,82,Good,No,Caterpillars,None,Low,High,High,Manure,Chennai,Winter
Mint,Mentha,Herb,Yes,Yes,33,67,Full Sun,Tropical,Clay,7.0,High,Weekly,15,43,Bad,No,Aphids,Viral,Medium,High,Low,Vermicompost,Hyderabad,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,23,87,Full Sun,Temperate,Sandy,5.9,High,Weekly,10,39,Good,No,Aphids,None,Medium,Medium,Medium,Vermicompost,Bangalore,Winter
Radish,Raphanus sativus,Herb,Yes,No,19,62,Partial Shade,Tropical,Silt,6.2,Medium,Weekly,18,88,Bad,Yes,Aphids,Viral,Low,High,Medium,Manure,Delhi,Summer
Mint,Mentha,Herb,Yes,Yes,27,70,Partial Shade,Arid,Silt,5.5,Medium,Weekly,19,105,Bad,Yes,Caterpillars,None,Medium,Medium,High,Manure,Mumbai,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,32,83,Partial Shade,Subtropical,Loam,7.3,Low,Daily,19,40,Good,Yes,Bacterial,Fungal,High,High,High,Manure,Mumbai,Summer
Carrot,Daucus carota,Herb,Yes,No,32,82,Shade,Arid,Sandy,7.1,Medium,Weekly,10,111,Good,Yes,Fungal,Viral,Medium,Low,High,Vermicompost,Hyderabad,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,21,47,Partial Shade,Temperate,Silt,5.9,Low,Daily,7,42,Good,No,Caterpillars,Viral,Low,Low,High,Compost,Bangalore,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,22,82,Full Sun,Tropical,Clay,6.7,Medium,Daily,17,70,Bad,No,Bacterial,None,High,Medium,Low,Vermicompost,Chennai,Monsoon
Mint,Mentha,Herb,Yes,Yes,18,74,Partial Shade,Tropical,Silt,7.0,Medium,Daily,11,95,Good,Yes,Fungal,None,Medium,High,Medium,Compost,Delhi,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,30,47,Shade,Subtropical,Loam,6.9,Low,Daily,15,109,Bad,No,Bacterial,None,Medium,Medium,High,Compost,Bangalore,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,26,50,Partial Shade,Subtropical,Clay,7.3,Low,Weekly,16,112,Bad,No,Aphids,Viral,High,High,Medium,Vermicompost,Chennai,Monsoon
Carrot,Daucus carota,Herb,Yes,No,34,77,Shade,Tropical,Sandy,5.8,Medium,Daily,9,51,Good,Yes,Caterpillars,Bacterial,Medium,Low,Medium,Manure,Hyderabad,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,22,47,Full Sun,Temperate,Peaty,5.8,Medium,Daily,8,56,Bad,Yes,None,Viral,High,High,Low,Vermicompost,Delhi,Winter
Mint,Mentha,Herb,Yes,Yes,25,42,Full Sun,Subtropical,Loam,7.3,Low,Daily,13,48,Good,Yes,None,Bacterial,Medium,Low,Low,Vermicompost,Chennai,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,23,50,Shade,Subtropical,Loam,7.4,High,Daily,20,94,Bad,No,Fungal,Fungal,Medium,Low,Medium,Manure,Delhi,Winter
Chili,Capsicum annuum,Shrub,Yes,No,35,58,Partial Shade,Tropical,Silt,6.9,Medium,Weekly,16,45,Good,No,Aphids,None,High,Low,Medium,Compost,Hyderabad,Summer
Radish,Raphanus sativus,Herb,Yes,No,29,77,Shade,Subtropical,Sandy,6.6,Medium,Weekly,20,115,Bad,Yes,None,Fungal,High,High,High,Manure,Hyderabad,Winter
Spinach,Spinacia oleracea,Herb,Yes,No,35,45,Shade,Subtropical,Loam,7.4,High,Weekly,9,116,Good,No,Caterpillars,None,Medium,Medium,Medium,Vermicompost,Hyderabad,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,32,53,Full Sun,Tropical,Clay,7.2,Medium,Weekly,18,61,Good,Yes,Fungal,None,Low,Low,Low,Manure,Mumbai,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,20,67,Full Sun,Subtropical,Silt,5.8,Low,Weekly,7,68,Bad,No,Aphids,Viral,High,Low,Medium,Vermicompost,Hyderabad,Monsoon
Carrot,Daucus carota,Herb,Yes,No,30,54,Partial Shade,Tropical,Peaty,6.2,Low,Weekly,12,86,Good,Yes,None,Fungal,Low,Medium,Low,Vermicompost,Bangalore,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,17,49,Shade,Temperate,Clay,7.2,High,Daily,18,61,Good,Yes,None,None,High,Low,High,Vermicompost,Mumbai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,21,61,Partial Shade,Temperate,Peaty,5.8,Low,Weekly,13,61,Good,Yes,Caterpillars,Viral,High,High,High,Manure,Hyderabad,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,26,44,Shade,Arid,Sandy,7.0,Medium,Weekly,14,107,Good,Yes,Bacterial,Fungal,Medium,Medium,Low,Vermicompost,Bangalore,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,15,83,Full Sun,Tropical,Clay,6.4,Low,Weekly,6,31,Good,Yes,None,Bacterial,Low,High,Medium,Compost,Delhi,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,15,41,Partial Shade,Arid,Loam,7.4,High,Weekly,14,68,Good,No,Aphids,Bacterial,High,Low,Medium,Vermicompost,Hyderabad,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,30,80,Full Sun,Subtropical,Loam,6.1,Medium,Weekly,14,63,Bad,Yes,Bacterial,Viral,High,Low,Low,Manure,Mumbai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,28,85,Full Sun,Subtropical,Silt,7.5,Low,Weekly,9,101,Bad,No,Fungal,Fungal,Low,High,Low,Manure,Bangalore,Summer
Mint,Mentha,Herb,Yes,Yes,31,86,Full Sun,Tropical,Clay,6.0,High,Daily,6,49,Good,No,Fungal,Bacterial,High,Low,Medium,Manure,Delhi,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,16,66,Full Sun,Subtropical,Loam,6.9,High,Daily,14,104,Good,No,Aphids,Fungal,Low,Low,High,Compost,Mumbai,Monsoon
Carrot,Daucus carota,Herb,Yes,No,18,46,Shade,Arid,Sandy,7.1,Medium,Daily,20,36,Bad,No,Bacterial,Bacterial,Low,Low,Low,Compost,Mumbai,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,15,88,Partial Shade,Arid,Sandy,6.0,High,Weekly,19,114,Bad,No,Bacterial,Viral,High,Medium,Low,Vermicompost,Bangalore,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,34,44,Partial Shade,Temperate,Silt,6.1,Medium,Weekly,15,96,Bad,No,Bacterial,Fungal,Medium,Medium,Low,Compost,Delhi,Monsoon
Mint,Mentha,Herb,Yes,Yes,26,85,Partial Shade,Arid,Loam,5.7,High,Daily,17,90,Good,Yes,Fungal,Bacterial,Low,Low,High,Manure,Bangalore,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,30,51,Full Sun,Arid,Loam,7.2,High,Daily,7,117,Bad,No,None,Viral,Low,Medium,Low,Compost,Hyderabad,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,28,61,Shade,Subtropical,Loam,6.3,Medium,Daily,6,82,Bad,No,Bacterial,Viral,Medium,Medium,High,Compost,Mumbai,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,19,68,Partial Shade,Arid,Loam,6.1,High,Daily,11,90,Bad,No,Aphids,Viral,Medium,High,Low,Vermicompost,Chennai,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,26,42,Full Sun,Tropical,Sandy,6.5,Low,Weekly,13,61,Good,Yes,Aphids,Bacterial,Medium,Low,Medium,Compost,Mumbai,Monsoon
Carrot,Daucus carota,Herb,Yes,No,27,50,Shade,Arid,Silt,6.5,Low,Weekly,9,30,Good,No,Fungal,None,Medium,Low,Medium,Vermicompost,Mumbai,Winter
Mint,Mentha,Herb,Yes,Yes,16,67,Full Sun,Temperate,Clay,6.2,Low,Daily,16,38,Bad,Yes,Aphids,Viral,High,High,High,Manure,Chennai,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,18,53,Full Sun,Temperate,Silt,6.7,High,Daily,20,46,Bad,No,None,None,Low,High,Low,Compost,Delhi,Monsoon
Radish,Raphanus sativus,Herb,Yes,No,25,86,Shade,Subtropical,Loam,7.2,High,Daily,12,113,Bad,No,Bacterial,Fungal,Medium,Low,High,Compost,Chennai,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,18,43,Partial Shade,Tropical,Peaty,6.3,Low,Daily,15,60,Bad,No,Caterpillars,None,Low,High,Medium,Manure,Bangalore,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,29,59,Partial Shade,Tropical,Sandy,6.1,Low,Weekly,7,91,Bad,No,Aphids,None,Medium,Low,Low,Manure,Hyderabad,Winter
Carrot,Daucus carota,Herb,Yes,No,15,44,Full Sun,Arid,Silt,5.8,Low,Daily,17,113,Bad,No,Fungal,None,Medium,Medium,Low,Vermicompost,Mumbai,Monsoon
Carrot,Daucus carota,Herb,Yes,No,28,70,Shade,Tropical,Clay,5.6,Medium,Daily,14,100,Bad,No,None,None,Medium,High,Medium,Manure,Delhi,Monsoon
Chili,Capsicum annuum,Shrub,Yes,No,26,44,Full Sun,Subtropical,Clay,6.1,Medium,Daily,5,102,Good,Yes,Fungal,Viral,Low,Low,Low,Manure,Bangalore,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,16,44,Full Sun,Arid,Clay,5.6,Medium,Daily,9,85,Bad,No,Bacterial,Viral,High,Low,Low,Vermicompost,Mumbai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,20,77,Shade,Temperate,Sandy,7.0,Medium,Daily,17,45,Good,Yes,Aphids,Viral,Medium,High,Low,Manure,Bangalore,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,26,48,Full Sun,Tropical,Sandy,5.8,Low,Weekly,20,34,Good,No,None,Bacterial,Low,Medium,Medium,Vermicompost,Delhi,Winter
Mint,Mentha,Herb,Yes,Yes,16,65,Shade,Arid,Clay,7.3,Medium,Daily,7,69,Good,Yes,None,None,Medium,Low,Low,Vermicompost,Mumbai,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,33,51,Partial Shade,Subtropical,Peaty,5.6,High,Weekly,10,69,Bad,Yes,None,Fungal,Medium,Low,Medium,Manure,Mumbai,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,27,58,Full Sun,Temperate,Sandy,6.4,Medium,Daily,10,54,Good,No,Aphids,Bacterial,High,Medium,Medium,Manure,Delhi,Summer
Carrot,Daucus carota,Herb,Yes,No,16,60,Partial Shade,Arid,Sandy,7.1,Medium,Weekly,13,107,Good,Yes,Caterpillars,Viral,High,Medium,Low,Compost,Delhi,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,30,64,Shade,Arid,Clay,5.9,Low,Weekly,15,67,Bad,Yes,Aphids,None,Medium,Low,High,Vermicompost,Hyderabad,Winter
Chili,Capsicum annuum,Shrub,Yes,No,35,74,Shade,Tropical,Silt,6.7,Low,Weekly,6,68,Good,No,Bacterial,Viral,Low,Low,Low,Compost,Chennai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,24,89,Full Sun,Subtropical,Silt,5.6,Medium,Daily,10,39,Good,No,Aphids,Fungal,Medium,Low,High,Manure,Mumbai,Summer
Carrot,Daucus carota,Herb,Yes,No,16,62,Shade,Temperate,Peaty,7.1,Low,Weekly,16,47,Bad,Yes,Fungal,Fungal,Low,Medium,Medium,Manure,Bangalore,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,31,78,Shade,Temperate,Peaty,6.4,Low,Daily,12,66,Good,Yes,None,None,High,High,Medium,Manure,Hyderabad,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,19,50,Shade,Tropical,Silt,5.8,High,Weekly,13,117,Bad,No,Caterpillars,Fungal,High,Medium,High,Vermicompost,Chennai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,34,48,Partial Shade,Subtropical,Loam,7.4,High,Weekly,15,94,Good,Yes,Bacterial,None,High,Medium,High,Manure,Bangalore,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,29,88,Shade,Temperate,Sandy,6.2,Low,Daily,9,120,Bad,Yes,Caterpillars,None,High,Medium,Low,Manure,Bangalore,Summer
Mint,Mentha,Herb,Yes,Yes,35,90,Shade,Subtropical,Clay,6.7,Medium,Daily,17,117,Good,Yes,Caterpillars,None,High,Low,Medium,Vermicompost,Hyderabad,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,21,41,Shade,Arid,Sandy,6.2,Low,Weekly,16,94,Good,Yes,None,Fungal,High,Low,High,Compost,Chennai,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,27,67,Partial Shade,Arid,Sandy,7.2,Low,Weekly,5,61,Bad,Yes,Bacterial,Fungal,Low,Medium,Low,Vermicompost,Delhi,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,23,72,Full Sun,Temperate,Sandy,6.1,Medium,Weekly,18,99,Bad,No,Bacterial,None,High,Low,Low,Compost,Chennai,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,31,76,Shade,Tropical,Loam,6.0,Medium,Daily,13,82,Good,No,Fungal,Viral,Low,High,Medium,Manure,Chennai,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,24,57,Shade,Arid,Clay,7.5,High,Weekly,10,99,Good,Yes,Bacterial,Bacterial,Low,High,High,Manure,Delhi,Summer
Mint,Mentha,Herb,Yes,Yes,15,84,Partial Shade,Temperate,Loam,6.7,Low,Weekly,15,32,Good,Yes,Fungal,Bacterial,Medium,High,Medium,Compost,Bangalore,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,30,43,Shade,Temperate,Peaty,6.7,Low,Daily,8,80,Bad,Yes,Fungal,None,Low,Low,High,Vermicompost,Hyderabad,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,30,60,Shade,Temperate,Silt,5.7,High,Daily,12,39,Good,No,Aphids,None,Medium,Medium,Low,Manure,Delhi,Summer
Radish,Raphanus sativus,Herb,Yes,No,30,71,Full Sun,Subtropical,Clay,5.8,Medium,Daily,20,52,Good,No,Caterpillars,Bacterial,Medium,High,Low,Compost,Hyderabad,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,31,63,Shade,Subtropical,Peaty,5.9,High,Daily,20,39,Good,No,Aphids,Fungal,Low,Medium,Low,Manure,Bangalore,Summer
Mint,Mentha,Herb,Yes,Yes,20,69,Full Sun,Arid,Silt,6.6,Medium,Daily,9,103,Bad,No,Caterpillars,None,High,High,Low,Manure,Hyderabad,Winter
Tomato,Solanum lycopersicum,Herb,Yes,No,19,67,Partial Shade,Arid,Loam,6.2,Low,Weekly,19,107,Good,Yes,Fungal,None,Medium,Low,Medium,Compost,Bangalore,Summer
Carrot,Daucus carota,Herb,Yes,No,15,68,Partial Shade,Subtropical,Sandy,6.8,High,Daily,20,56,Bad,Yes,Bacterial,None,Low,Medium,Low,Vermicompost,Mumbai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,20,69,Partial Shade,Subtropical,Loam,7.3,High,Daily,11,91,Good,Yes,Caterpillars,None,Medium,Medium,High,Compost,Bangalore,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,21,90,Full Sun,Subtropical,Loam,5.9,High,Daily,7,59,Good,No,Caterpillars,Bacterial,Medium,Low,Medium,Vermicompost,Mumbai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,26,79,Full Sun,Temperate,Loam,6.1,Low,Daily,14,72,Bad,No,Bacterial,Bacterial,Low,Low,Medium,Manure,Chennai,Winter
Mint,Mentha,Herb,Yes,Yes,33,49,Full Sun,Arid,Clay,6.9,High,Daily,16,111,Bad,No,Caterpillars,None,Low,Low,Medium,Compost,Bangalore,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,35,40,Partial Shade,Subtropical,Clay,6.7,Medium,Daily,9,107,Good,Yes,None,Bacterial,Medium,Medium,Medium,Manure,Bangalore,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,27,64,Shade,Arid,Loam,6.6,Medium,Daily,8,38,Bad,Yes,Caterpillars,None,Low,High,Medium,Manure,Chennai,Monsoon
Chili,Capsicum annuum,Shrub,Yes,No,21,64,Shade,Arid,Loam,7.1,High,Weekly,10,70,Good,No,Caterpillars,None,High,Low,High,Compost,Chennai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,32,55,Partial Shade,Subtropical,Silt,6.7,Low,Weekly,13,113,Bad,Yes,Aphids,Viral,Medium,Low,Medium,Vermicompost,Bangalore,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,23,71,Shade,Subtropical,Loam,6.1,High,Weekly,16,48,Bad,Yes,Aphids,Bacterial,High,Low,Medium,Manure,Bangalore,Winter
Carrot,Daucus carota,Herb,Yes,No,17,62,Partial Shade,Subtropical,Loam,7.3,High,Daily,10,87,Bad,No,Bacterial,Viral,Low,Medium,Low,Compost,Delhi,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,18,85,Shade,Subtropical,Clay,7.2,Medium,Weekly,14,39,Good,Yes,Aphids,None,Low,Low,High,Manure,Mumbai,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,22,88,Shade,Temperate,Silt,7.0,Medium,Weekly,10,78,Good,Yes,Fungal,Fungal,High,High,Medium,Vermicompost,Delhi,Winter
Carrot,Daucus carota,Herb,Yes,No,31,58,Partial Shade,Tropical,Clay,5.7,Medium,Daily,6,57,Bad,No,None,Fungal,High,High,Medium,Manure,Chennai,Monsoon
Chili,Capsicum annuum,Shrub,Yes,No,19,83,Shade,Tropical,Silt,5.7,High,Weekly,11,119,Bad,No,Bacterial,Viral,Medium,High,Medium,Vermicompost,Bangalore,Winter
Mint,Mentha,Herb,Yes,Yes,18,59,Partial Shade,Tropical,Clay,6.0,Medium,Weekly,15,89,Good,No,None,Fungal,Medium,Medium,High,Vermicompost,Bangalore,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,34,89,Partial Shade,Subtropical,Loam,7.1,High,Daily,8,90,Bad,Yes,Aphids,Viral,Low,Low,Medium,Compost,Mumbai,Monsoon
Coriander,Coriandrum sativum,Herb,Yes,Yes,34,56,Shade,Arid,Silt,6.4,Medium,Daily,20,89,Bad,Yes,Caterpillars,Fungal,Medium,Low,Low,Manure,Mumbai,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,34,81,Partial Shade,Temperate,Clay,6.9,Low,Daily,17,95,Bad,No,Fungal,None,Low,Medium,High,Compost,Hyderabad,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,20,40,Partial Shade,Subtropical,Loam,5.7,Medium,Daily,13,79,Good,Yes,Caterpillars,None,High,Medium,High,Manure,Delhi,Monsoon
Mint,Mentha,Herb,Yes,Yes,18,82,Full Sun,Subtropical,Clay,6.0,High,Daily,15,77,Good,No,Fungal,Viral,Medium,High,Low,Compost,Chennai,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,19,69,Full Sun,Temperate,Clay,5.6,Low,Daily,15,116,Bad,No,Fungal,Viral,High,Medium,Medium,Vermicompost,Mumbai,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,16,75,Full Sun,Subtropical,Silt,6.9,Medium,Weekly,9,96,Good,Yes,Aphids,Bacterial,Medium,High,Medium,Vermicompost,Delhi,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,26,55,Shade,Subtropical,Peaty,5.5,High,Weekly,13,101,Good,No,Fungal,Bacterial,Medium,Medium,Low,Manure,Chennai,Monsoon
Spinach,Spinacia oleracea,Herb,Yes,No,22,68,Full Sun,Tropical,Clay,5.9,High,Weekly,7,84,Bad,No,Fungal,Bacterial,Low,Low,High,Vermicompost,Mumbai,Summer
Mint,Mentha,Herb,Yes,Yes,20,70,Partial Shade,Temperate,Sandy,5.8,Medium,Daily,14,105,Good,No,Caterpillars,Fungal,High,Medium,Low,Manure,Mumbai,Monsoon
Lettuce,Lactuca sativa,Herb,Yes,No,16,45,Full Sun,Tropical,Loam,6.0,High,Weekly,11,76,Bad,No,None,None,High,Medium,Medium,Vermicompost,Hyderabad,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,24,90,Partial Shade,Temperate,Clay,7.3,Low,Weekly,17,44,Bad,No,None,None,Low,Medium,High,Compost,Bangalore,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,20,56,Shade,Tropical,Silt,6.3,High,Weekly,16,114,Bad,Yes,Caterpillars,Bacterial,Medium,Medium,Low,Vermicompost,Hyderabad,Summer
Radish,Raphanus sativus,Herb,Yes,No,23,78,Partial Shade,Subtropical,Loam,6.8,Low,Weekly,12,46,Good,Yes,Fungal,Fungal,Low,High,Low,Vermicompost,Bangalore,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,17,85,Partial Shade,Tropical,Silt,7.5,Medium,Weekly,17,30,Good,Yes,Fungal,Viral,High,Low,Medium,Vermicompost,Delhi,Summer
Mint,Mentha,Herb,Yes,Yes,24,55,Full Sun,Tropical,Sandy,6.0,Medium,Daily,9,120,Bad,No,None,None,High,Medium,Medium,Compost,Mumbai,Winter
Mint,Mentha,Herb,Yes,Yes,33,51,Shade,Subtropical,Clay,6.0,Medium,Daily,9,60,Bad,No,None,Fungal,High,Low,High,Manure,Delhi,Winter
Chili,Capsicum annuum,Shrub,Yes,No,18,55,Full Sun,Subtropical,Sandy,6.3,Medium,Daily,14,102,Bad,Yes,Fungal,Fungal,Low,High,High,Vermicompost,Bangalore,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,31,46,Partial Shade,Temperate,Clay,6.5,High,Daily,8,35,Good,No,Caterpillars,Fungal,Medium,High,Medium,Compost,Chennai,Summer
Radish,Raphanus sativus,Herb,Yes,No,20,88,Shade,Arid,Silt,5.6,Low,Weekly,6,106,Good,Yes,Bacterial,Viral,High,Low,High,Manure,Chennai,Monsoon
Pumpkin,Cucurbita pepo,Vine,Yes,No,35,42,Full Sun,Arid,Peaty,7.4,Low,Daily,12,100,Good,Yes,Aphids,Bacterial,Medium,High,Low,Manure,Chennai,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,33,46,Shade,Tropical,Clay,7.0,Low,Weekly,8,91,Good,Yes,Bacterial,Bacterial,Medium,High,High,Compost,Bangalore,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,17,88,Partial Shade,Tropical,Sandy,7.4,Medium,Weekly,8,111,Good,Yes,None,Bacterial,High,High,High,Manure,Hyderabad,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,24,56,Shade,Subtropical,Sandy,5.9,High,Daily,10,112,Bad,Yes,Aphids,Bacterial,High,High,High,Vermicompost,Chennai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,34,80,Full Sun,Temperate,Clay,5.7,High,Daily,16,79,Bad,Yes,Fungal,Viral,Medium,Medium,High,Compost,Hyderabad,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,24,86,Partial Shade,Arid,Silt,6.0,Medium,Daily,10,39,Good,No,Bacterial,Viral,High,Low,Medium,Manure,Hyderabad,Winter
Mint,Mentha,Herb,Yes,Yes,15,74,Shade,Temperate,Peaty,5.8,Low,Weekly,8,63,Good,No,Fungal,Fungal,Medium,Low,High,Compost,Mumbai,Summer
Chili,Capsicum annuum,Shrub,Yes,No,28,85,Partial Shade,Temperate,Loam,5.8,Low,Weekly,12,105,Bad,No,Bacterial,Bacterial,Low,Low,High,Manure,Delhi,Winter
Radish,Raphanus sativus,Herb,Yes,No,26,81,Partial Shade,Subtropical,Clay,6.3,High,Daily,11,62,Good,Yes,Aphids,None,Low,High,High,Manure,Mumbai,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,20,58,Shade,Arid,Clay,6.4,Low,Weekly,18,92,Bad,Yes,None,Fungal,High,Low,Low,Vermicompost,Delhi,Winter
Mint,Mentha,Herb,Yes,Yes,32,89,Full Sun,Subtropical,Clay,6.9,High,Weekly,13,101,Bad,No,Bacterial,None,High,Low,Medium,Compost,Hyderabad,Summer
Chili,Capsicum annuum,Shrub,Yes,No,19,45,Shade,Subtropical,Sandy,6.7,Low,Weekly,5,40,Bad,Yes,Aphids,Fungal,Low,Low,High,Vermicompost,Bangalore,Monsoon
Carrot,Daucus carota,Herb,Yes,No,17,74,Partial Shade,Arid,Sandy,6.9,Medium,Daily,11,115,Bad,No,Caterpillars,Fungal,Medium,High,Medium,Compost,Delhi,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,29,53,Full Sun,Subtropical,Loam,7.0,High,Weekly,15,113,Bad,Yes,Aphids,Fungal,High,Low,Low,Vermicompost,Chennai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,19,90,Partial Shade,Temperate,Silt,6.1,Medium,Daily,12,119,Good,No,Caterpillars,Fungal,Medium,High,High,Compost,Chennai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,20,79,Full Sun,Temperate,Clay,6.2,Low,Weekly,7,119,Bad,No,Aphids,Bacterial,Low,High,High,Manure,Chennai,Summer
Radish,Raphanus sativus,Herb,Yes,No,21,81,Shade,Temperate,Peaty,6.8,Medium,Daily,17,92,Bad,Yes,Bacterial,Bacterial,High,Medium,Medium,Compost,Hyderabad,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,19,47,Full Sun,Tropical,Peaty,5.8,Low,Weekly,14,96,Good,No,Bacterial,None,High,Medium,Medium,Vermicompost,Mumbai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,27,90,Partial Shade,Temperate,Peaty,5.7,Low,Daily,6,93,Good,No,None,Viral,Medium,High,High,Manure,Delhi,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,31,70,Partial Shade,Temperate,Sandy,6.4,High,Weekly,16,53,Good,Yes,None,None,High,Medium,Low,Vermicompost,Chennai,Winter
Radish,Raphanus sativus,Herb,Yes,No,24,59,Partial Shade,Tropical,Loam,6.9,High,Daily,7,67,Bad,No,None,Bacterial,Low,Low,High,Manure,Hyderabad,Winter
